Season,Episode Name,Episode Number,Speaker,Text
1,Arthur's Eyes (episode)/Transcript,1,Arthur: ,)
1,Arthur's Eyes (episode)/Transcript,1,D.W. ):,Come with me.
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Why?
1,Arthur's Eyes (episode)/Transcript,1,D.W.:,Shh. ): It's about our lost brother!
1,Arthur's Eyes (episode)/Transcript,1,):,Shh. ): It's about our lost brother!
1,Arthur's Eyes (episode)/Transcript,1,Arthur: ): ,):  We don't have a brother.
1,Arthur's Eyes (episode)/Transcript,1,D.W.: ):,): They're keeping him a secret! But I've seen him!
1,Arthur's Eyes (episode)/Transcript,1,Arthur ): (whispering):,(whispering): Uh-oh! (Normally): Great.
1,Arthur's Eyes (episode)/Transcript,1,):,(whispering): Uh-oh! (Normally): Great.
1,Arthur's Eyes (episode)/Transcript,1,D.W.: ): ,): Don't turn on- (Arthur turns light on) (quietly): -the light...
1,Arthur's Eyes (episode)/Transcript,1,):,): Don't turn on- (Arthur turns light on) (quietly): -the light...
1,Arthur's Eyes (episode)/Transcript,1,D.W.: ,See?  I wonder where he went. Mom and dad sold him or something.
1,Arthur's Eyes (episode)/Transcript,1,Arthur: ,"D.W., that's me!"
1,Arthur's Eyes (episode)/Transcript,1,D.W.:,Is not!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Is too!
1,Arthur's Eyes (episode)/Transcript,1,D.W.:,But you wear glasses!
1,Arthur's Eyes (episode)/Transcript,1,Arthur: ,That's before I wore glasses.
1,Arthur's Eyes (episode)/Transcript,1,D.W.: ,You were born with glasses!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,"You were only two years old then, so you probably don't remember."
1,Arthur's Eyes (episode)/Transcript,1,Mr. Marco: ,This quiz is to be completed in class. No talking!    )
1,Arthur's Eyes (episode)/Transcript,1,Arthur ):,"That's a seven, right?"
1,Arthur's Eyes (episode)/Transcript,1,Francine: ,"No, it's a two!"
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,That's a one?
1,Arthur's Eyes (episode)/Transcript,1,Francine: ,"No, it's a seven."
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,That's a seven.
1,Arthur's Eyes (episode)/Transcript,1,Francine: ,"No Arthur, it's a nine, stop bothering me!"
1,Arthur's Eyes (episode)/Transcript,1,Mr. Marco: ,) Ahem! Mmm!
1,Arthur's Eyes (episode)/Transcript,1,Mr. Marco:,These are your test results. Anybody with four or more mistakes should see me after class for extra homework.
1,Arthur's Eyes (episode)/Transcript,1,Francine:,I guess math's not your best subject.
1,Arthur's Eyes (episode)/Transcript,1,Arthur: ,I have a headache!
1,Arthur's Eyes (episode)/Transcript,1,Buster:,"Yeah, sometimes Francine gives me a headache too."
1,Arthur's Eyes (episode)/Transcript,1,Francine:,) Hmph!
1,Arthur's Eyes (episode)/Transcript,1,Arthur: ,Huh?
1,Arthur's Eyes (episode)/Transcript,1,Francine's Team: ,Shoot!
1,Arthur's Eyes (episode)/Transcript,1,Buster: ,Arthur!
1,Arthur's Eyes (episode)/Transcript,1,Arthur: ,Got it! No I don't.
1,Arthur's Eyes (episode)/Transcript,1,Binky ): ,"Go, go, go, go!"
1,Arthur's Eyes (episode)/Transcript,1,Buster: ,"Come on Arthur, you can do it!"
1,Arthur's Eyes (episode)/Transcript,1,Buster: ,"Aw, Arthur!"
1,Arthur's Eyes (episode)/Transcript,1,Francine:,I guess basketball is just not your sport.
1,Arthur's Eyes (episode)/Transcript,1,Prunella:,"E, G, B, D!"
1,Arthur's Eyes (episode)/Transcript,1,Binky: ,"E, G, B, D."
1,Arthur's Eyes (episode)/Transcript,1,Sue Ellen:,"E, G, B, D."
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,") M, P, 7, R, P, R.  Oh, it's not a seven! Eight?    Huh?"
1,Arthur's Eyes (episode)/Transcript,1,Francine:,) Arthur's in trouble!
1,Arthur's Eyes (episode)/Transcript,1,Muffy:,How do you get in trouble with the nurse?
1,Arthur's Eyes (episode)/Transcript,1,Buster:,What happened?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,I have to go to the eye doctor.
1,Arthur's Eyes (episode)/Transcript,1,Dr. Iris:,What can you see?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,"It's just blurry, Dr. Iris!           )"
1,Arthur's Eyes (episode)/Transcript,1,Dr. Iris:,Now what do you see?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,A giant worm!
1,Arthur's Eyes (episode)/Transcript,1,Dave:,Huh?
1,Arthur's Eyes (episode)/Transcript,1,Jane:,Where?
1,Arthur's Eyes (episode)/Transcript,1,Dr. Iris:,Hm.
1,Arthur's Eyes (episode)/Transcript,1,Dr. Iris:,That better?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,"Yeah, I can read it all!"
1,Arthur's Eyes (episode)/Transcript,1,Dr. Iris:,"You just need glasses, Arthur. That's why you've been getting those headaches."
1,Arthur's Eyes (episode)/Transcript,1,Dr. Iris:,All you have to do is choose the frames you like.
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Cool!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Hm.  Woo.    He tilts his head and his pupils roll along the rim of the glasses.
1,Arthur's Eyes (episode)/Transcript,1,:,Those are nice.
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Maybe I'll try something else.
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Hey!
1,Arthur's Eyes (episode)/Transcript,1,Dr. Iris:,There!
1,Arthur's Eyes (episode)/Transcript,1,Jane:,"Those look wonderful, Arthur!"
1,Arthur's Eyes (episode)/Transcript,1,David:,Very distinguished.
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Really?
1,Arthur's Eyes (episode)/Transcript,1,Arthur ):,"Look at that airplane way up there! Look at all the leaves on the trees!  Hey mom, you have gray hairs on your head!  Dad, have you always had those bags under your eyes?"
1,Arthur's Eyes (episode)/Transcript,1,Francine:,Whoa! You look weird!
1,Arthur's Eyes (episode)/Transcript,1,Binky:,You look different! You get a new haircut?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,No!!
1,Arthur's Eyes (episode)/Transcript,1,Francine:,"Hey Buster, look! ) Arthur's a four eyes! (Sing-song voice) Arthur's a four eyes! Arthur's a four eyes! Arthur's a four eyes!"
1,Arthur's Eyes (episode)/Transcript,1,Buster:,"Some people need glasses to see, Francine. Big deal!"
1,Arthur's Eyes (episode)/Transcript,1,Arthur: ,Huh?
1,Arthur's Eyes (episode)/Transcript,1,Buster:,)   Oh.
1,Arthur's Eyes (episode)/Transcript,1,Binky:,"I know, that's a new shirt!"
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Afraid not.
1,Arthur's Eyes (episode)/Transcript,1,D.W.: ,Huh? )
1,Arthur's Eyes (episode)/Transcript,1,David:,Huh? Arthur?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Don't talk to me!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Well it's better than being called four eyes!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,"If I lose them, nobody can make me wear them!"
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,I won't even know where they land!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Good riddance!
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,) Uggghhh!
1,Arthur's Eyes (episode)/Transcript,1,David:,Huh?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,)
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,"That's it, D.W.!"
1,Arthur's Eyes (episode)/Transcript,1,D.W.:,)
1,Arthur's Eyes (episode)/Transcript,1,Jane:,What are you doing with your glasses?
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,"D.W. took them, mom! I was just getting them back!"
1,Arthur's Eyes (episode)/Transcript,1,Jane:,Be careful with those. You wouldn’t want them to get broken.
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,Ouch!! )
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,)
1,Arthur's Eyes (episode)/Transcript,1,Mr. Marco:,"Arthur, where are your glasses?"
1,Arthur's Eyes (episode)/Transcript,1,Arthur:,I lost them. At home I think.
